Valores de variáveis;;;;;
Nome;Descrição;Nível de medição;Catergoria;Descrição da categoria;Tamanho
;;;2627;Claretiana FM (SP);
;;;2628;Classic Hits FM (SP);
;;;2629;Clube (Birigui) (SP);
;;;2630;Clube AM - RCR (SP);
;;;2631;Clube 92 FM  (SP);
;;;2632;Clube AM (Altinópolis) (SP);
;;;2633;Clube AM (Espírito Santo do Pinhal) (SP);
;;;2634;Clube AM (Guaratinguetá) (SP);
;;;2635;Clube AM (Itapeva) (SP);
;;;2636;Clube AM (Itapira) (SP);
;;;2637;Clube AM (Lins) (SP);
;;;2638;Clube AM (Mirandópolis)(SP);
;;;2639;Clube AM (Osvaldo Cruz) (SP);
;;;2640;Clube AM (Ribeirão Preto) (SP);
;;;2641;Clube AM (Rio Claro) (SP);
;;;2642;Clube AM (São Carlos) (SP);
;;;2643;Clube AM (São Manuel) (SP);
;;;2644;Clube AM (Mococa) (SP);
;;;2645;Clube de Bilac AM - RCR (SP);
;;;2646;Clube de Marília AM (SP);
;;;2647;Clube de Santos AM - Rede Copacabana (SP);
;;;2648;Clube de Tupã AM (SP);
;;;2649;Clube FM (Pereira Barreto) (SP);
;;;2650;Clube FM 100,5 (Ribeirão Preto) (SP);
;;;2651;Clube FM - Aleluia (Lins) (SP);
;;;2652;Clube FM - Vinícola (Espírito Santo do Pinhal) (SP);
;;;2653;Clube FM 96,3 (Araçatuba) (SP);
;;;2654;Clube Mensagem AM (SP);
;;;2655;Clube Ourinhos AM (SP);
;;;2656;CMN AM 750 KHz (SP);
;;;2657;Colina FM - Barretos FM  (SP);
;;;2658;Comercial 98 FM (SP);
;;;2659;Comercial AM (SP);
;;;2660;Conectcar SP/Rio 90,7 FM (Ex Sempre Mais FM) (SP);
;;;2661;Conquista FM (SP);
;;;2662;Convenção de Itu AM (SP);
;;;2663;Costa Azul AM (SP);
;;;2664;Criativa FM (SP);
;;;2665;Cruzeiro FM (SP);
;;;2666;Cultura AM 790 KHz(SP);
;;;2667;Cultura 88 FM (SP);
;;;2668;Cultura AM (Araçatuba) (SP);
;;;2669;Cultura AM (Araraquara) (SP);
;;;2670;Cultura AM (Bariri) (SP);
;;;2671;Cultura AM (Guaíra) (SP);
;;;2672;Cultura AM (Ituverava) (SP);
;;;2673;Cultura AM (Jales) (SP);
;;;2674;Cultura AM (Leme) (SP);
;;;2675;Cultura AM (Lorena) (SP);
;;;2676;Cultura AM (Monte Alto) (SP);
;;;2677;Cultura AM (Pederneiras) (SP);
;;;2678;Cultura AM (Promissão) (SP);
;;;2679;Cultura AM (Rio Claro) (SP);
;;;2680;Cultura AM (Santos) (SP);
;;;2681;Cultura AM (São Paulo) (SP);
;;;2682;Cultura AM (Vargem Grande do Sul) (SP);
;;;2683;Cultura AM - Transamérica (SP);
;;;2684;Cultura de Assis AM (SP);
;;;2685;Cultura FM (Araçatuba) (SP);
;;;2686;Cultura FM (Araraquara) (SP);
;;;2687;Cultura FM (Guaíra) (SP);
;;;2688;Cultura FM (Santos) (SP);
;;;2689;Cultura FM (São Paulo) (SP);
;;;2690;Cultura Regional AM (SP);
;;;2691;Cumbica AM (SP);
;;;2692;DBC FM - 106,3 FM São Carlos  (SP);
;;;2693;Diário AM (SP);
;;;2694;Diário FM (Marília) (SP);
;;;2695;Diário FM (Ribeirão Preto) (SP);
;;;2696;Difusora AM (Amparo) (SP);
;;;2697;Difusora AM (Batatais) (SP);
;;;2698;Difusora AM (Catanduva) (SP);
;;;2699;Difusora AM (Jundiaí) (SP);
;;;2700;Difusora AM (Mirassol) (SP);
;;;2701;Difusora AM (Mogi Guaçu) (SP);
;;;2702;Difusora AM (Osasco) (SP);
;;;2703;Difusora AM (Penápolis) (SP);
;;;2704;Difusora AM (Pindamonhangaba) (SP);
;;;2705;Difusora AM (Piracicaba) (SP);
;;;2706;Difusora AM (Pirassununga) (SP);
;;;2707;Difusora AM (Presidente Prudente) (SP);
;;;2708;Difusora AM (Santa Cruz do Rio Pardo) (SP);
;;;2709;Difusora AM (Taubaté) (SP);
;;;2710;Difusora AM (Lençóis Paulista) (SP);
;;;2711;Difusora AM - RCR (Casa Branca) (SP);
;;;2712;Difusora AM (Assis)(SP);
;;;2713;Difusora AM (Franca)(SP);
;;;2714;Difusora FM (Piracicaba) (SP);
;;;2715;Difusora FM (Ribeirão Preto) (SP);
;;;2716;Difusora AM (Lucélia) (SP);
;;;2717;Dimensão FM (SP);
;;;2718;Dinâmica FM (SP);
;;;2719;Dirceu de Marília AM (SP);
;;;2720;Disney FM  (SP);
;;;2721;Divisa FM (SP);
;;;2722;Dumont FM (SP);
;;;2723;Educadora AM (SP);
;;;2724;Educadora Fafit FM (SP);
;;;2725;Educadora FM  (SP);
;;;2726;Educadora Santa Rita AM - RCR (SP);
;;;2727;Edu Vale 104,3 FM - Piraju / SP;
;;;2728;Eldorado AM (SP);
;;;2729;Eldorado FM 107,3 in São Paulo / SP;
;;;2730;Emissora AM (SP);
;;;2731;Emissora da Barra AM (SP);
;;;2732;Energia 97 FM (São Paulo) (SP);
;;;2733;Energia FM (SP);
;;;2734;Energia FM - Aleluia (SP);
;;;2735;Estadão FM (Ex Estadão Espn FM, Ex Eldorado ) (SP);
;;;2736;Estereosom 99,9 FM (SP);
;;;2737;Excelsior AD 1350 AM - Ibiúna / SP;
;;;2738;Excelsior AM (Rio Claro) (SP);
;;;2739;Flash FM (SP);
;;;2741;90 FM (SP);
;;;2742;Cristal FM (SP);
;;;2743;Cultura FM- Aleluia (SP);
;;;2744;Diário FM (SP);
;;;2745;Fraternidade AM (SP);
;;;2746;Fraternidade FM (SP);
;;;2747;Gazeta AM (SP);
;;;2748;Gazeta FM (SP);
;;;2749;Globo AM (Campinas) (SP);
;;;2750;Globo AM (Dracena) (SP);
;;;2751;Globo AM (Itapetininga) (SP);
;;;2752;Globo AM (Presidente Prudente) (SP);
;;;2753;Globo AM 1100 (São Paulo) (SP);
;;;2754;Globo AM  (Catanduva) (SP);
;;;2755;Gospel FM 90,1 (SP);
;;;2756;Gospel FM 90,7 Araras (SP);
;;;2757;97 FM - 97,7 FM (SP);
;;;2758;Guarujá AM  (SP);
;;;2759;Guarujá FM (SP);
;;;2760;Harmonia FM (SP);
;;;2761;Hertz AM (SP);
;;;2762;Hertz FM (SP);
;;;2763;Hot FM 107 (SP);
;;;2764;Ibitinga AM  (SP);
;;;2765;Iguatemi AM 1370  KHz(SP);
;;;2766;Iguatemi AM 1520  KHz(SP);
;;;2767;Iguatemi FM (Bebedouro) (SP);
;;;2768;Iguatemi FM (Campinas) (SP);
;;;2769;Iguatemi FM (Sorocaba) (SP);
;;;2770;Imaculada Conceição 1490 AM (SP);
;;;2771;Imaculada Conceição FM  (SP);
;;;2772;Imperador AM (SP);
;;;2773;Imprensa FM (São Paulo) (SP);
;;;2774;Imprensa FM (Vargem Grande do Sul) (SP);
;;;2775;Independência FM (SP);
;;;2776;Independente AM (SP);
;;;2777;Independente FM 97,9 (SP);
;;;2778;Integração FM (SP);
;;;2779;Interativa (Ex Cultura FM) (SP);
;;;2780;Interativa FM (Aguaí) (SP);
;;;2781;Interativa FM (Avaré) (SP);
;;;2782;Intersom FM (SP);
;;;2783;Ipanema (Ex Jovem Pan FM Sorocaba) (SP);
;;;2784;Itaipu de Marília FM (SP);
;;;2785;Itaipu FM (SP);
;;;2786;Itapuã FM - Aleluia (Rio Claro) (SP);
;;;2787;Japi AM (SP);
;;;2788;Jauense AM (SP);
;;;2789;Joia AM (SP);
;;;2790;Jornal - Transamérica FM (SP);
;;;2791;Jornal 97,1 FM - Aleluia (SP);
;;;2792;Jornal 99 FM - Aleluia (SP);
;;;2793;Jornal de Indaiatuba AM (SP);
;;;2794;Jovem Auri Verde AM (SP);
;;;2795;Jovem Luz AM (SP);
;;;2796;Jovem Pan AM (SP) 620;
;;;2797;Jovem Pan FM (Marilia)(SP);
;;;2798;Jovem Pan FM (Campinas)(SP);
;;;2799;Jovem Pan FM (Araraquara) (SP);
;;;2800;Jovem Pan FM (Capão Bonito) (SP);
;;;2801;Jovem Pan FM (Catanduva) (SP);
;;;2802;Jovem Pan FM (Ribeirão Preto) (SP);
;;;2803;Jovem Pan FM (Santos) (SP);
;;;2804;Jovem Pan FM (São João Da Boa Vista) (SP);
;;;2805;Jovem Pan FM (São José dos Campos) (SP);
;;;2806;Jovem Pan FM 100,9 (São Paulo) (SP);
;;;2807;Jovem Pan FM 97,7 (Barra Bonita) (SP);
;;;2808;Jovem Pira FM (SP);
;;;2809;Jovem Som FM  (SP);
;;;2810;Junqueirópolis AM (SP);
;;;2811;Kiss 102,1 FM (São Paulo) (SP);
;;;2812;Kiss FM (Campinas) (SP);
;;;2813;Kiss FM (Santos)(SP);
;;;2814;Laser FM (Campinas) (SP);
;;;2815;Laser FM (Mogi Das Cruzes) (SP);
;;;2816;Liberal 92 FM (SP);
;;;2817;Líder FM - Aleluia (Bauru) (SP);
;;;2818;Líder AM (Votuporanga) (SP);
;;;2819;Líder FM (São José do Rio Preto) (SP);
;;;2820;Líder FM 103,5 FM - Aleluia (Ribeirão Preto) (SP);
;;;2821;Lidersom AM (SP);
;;;2822;Lidersom FM (SP);
;;;2823;Luzes Da Ribalta AM (SP);
;;;2824;Mais FM (Ex Transertaneja FM) (SP);
;;;2825;Manchester AM - Rede Copacabana (SP);
;;;2826;Mantiqueira AM (SP);
;;;2827;Mantiqueira FM (SP);
;;;2828;Marconi AM (SP);
;;;2829;Mega FM (SP);
;;;2830;Melody FM (Ex Verão FM /Oi) (SP);
;;;2831;Menina AM (SP);
;;;2832;Menina FM (SP);
;;;2833;Metropolitana AM (SP);
;;;2834;Metropolitana FM 98,5 (São Paulo) (SP);
;;;2835;Metropolitana FM (Guaratinguetá) (SP);
;;;2836;Metropolitana FM (Taubaté) (SP);
;;;2837;Metropolitana FM - Aleluia (Sorocaba) (SP);
;;;2838;Milícia da Imaculada AM (SP);
;;;2839;Mix AM (SP);
;;;2840;Mix FM (Atibaia) (SP);
;;;2841;Mix FM (Avaré) (SP);
;;;2842;Mix FM (Campinas) (SP);
;;;2843;Mix FM (São Paulo) (SP);
;;;2844;Monumental AM (SP);
;;;2845;Morada do Sol AM (Araraquara) (SP);
;;;2846;Morada do Sol AM (São Paulo) (SP);
;;;2847;Morada do Sol FM (Araraquara) (SP);
;;;2848;Morada do Sol FM (São Sebastião) (SP);
;;;2849;Morena FM - Aleluia (SP);
;;;2850;Mundial AM (São Paulo)(SP);
;;;2851;Mundial FM (SP);
;;;2852;Municipalista AM (SP);
;;;2853;Nacional Gospel AM 920 KHz (Ex Nacional AM) (SP);
;;;2854;Nativa FM (São José do Rio Preto) (SP);
;;;2855;Nativa FM (São José dos Campos) (SP);
;;;2856;Nativa FM (São Paulo) (SP);
;;;2857;Nativa FM (Araraquara) Ex Band FM (SP);
;;;2858;Nativa FM Campinas (SP);
;;;2859;Nossa Rádio FM (Franca) (SP);
;;;2860;Nossa Rádio FM (São José dos Campos) (SP);
;;;2861;Nossa Rádio FM (São Paulo) (SP);
;;;2862;Notícia FM (SP);
;;;2863;Notícias AM (SP);
;;;2864;Nova FM 102 (SP);
;;;2865;Nova AM (Bebedouro) (SP);
;;;2866;Nova AM (São Manuel) (SP);
;;;2867;Nova Brasil FM (Campinas) (SP);
;;;2868;Nova Brasil FM (São Paulo) (SP) 89,7;
;;;2869;Nova Cacique AM 1230 (SP);
;;;2870;Nova Difusora AM 1550  KHz(SP);
;;;2871;Nova FM (SP);
;;;2872;Nova Onda FM (SP);
;;;2873;Nova Porto AM 1120 (SP);
;;;2874;Nova Rádio AM (Ex Emissora AM) (SP);
;;;2875;Nova Regional FM (SP);
;;;2876;Nova Ribeirão 79 AM (SP);
;;;2877;Nova Stereosom FM (SP);
;;;2878;Nova Sumaré AM (SP);
;;;2879;Nova Voz FM  (SP);
;;;2880;Novo Tempo AM (Nova Odessa) (SP);
;;;2881;Novo Tempo AM (São José do Rio Preto) (SP);
;;;2882;Oceânica AM (SP);
;;;2883;Ok FM (SP);
;;;2884;Onda Livre AM (SP);
;;;2885;Onda Livre FM (SP);
;;;2886;Onda Viva AM -RCR (SP);
;;;2887;Ondas Verdes FM (SP);
;;;2888;ORC AM (SP);
;;;2889;Ótima FM 94,5 (SP);
;;;2890;Pai Eterno 103,7 FM Presidente Prudente (SP);
;;;2891;Panorama FM (Nativa) (SP);
;;;2892;Paranapanema AM (SP);
;;;2893;Parandá FM - Aleluia (SP);
;;;2894;Paulista AM (Presidente Prudente) (SP);
;;;2895;Paulista FM de Avaré (SP);
;;;2896;Pérola FM (SP);
;;;2897;Piracema FM  (SP);
;;;2898;Piratininga - Liberdade AM (SP);
;;;2899;Piratininga AM (Jaú) (SP);
;;;2900;Piratininga AM (Piraju) (SP);
;;;2901;Piratininga AM (São João Da Boa Vista) (SP);
;;;2902;Planalto AM Canção Nova (SP);
;;;2903;Porto FM (SP);
;;;2904;Venceslau 610 AM (Presidente Venceslau) (SP);
;;;2905;Primavera AM (SP);
;;;2906;Princesa AM (SP);
;;;2907;Prudente AM 1070 KHz(SP);
;;;2908;RDG Rádio Difusora AM (SP);
;;;2909;Rádio do Bem (Ex Metropolitana) (SP);
;;;2910;Raízes FM (SP);
;;;2911;RC Vale AM  (Cruzeiro)(SP);
;;;2912;RCT AM (SP);
;;;2913;Realidade AM (SP);
;;;2914;Rede Aleluia FM (São Paulo) (SP);
;;;2915;Rede do Bem FM - 97,3 FM (SP);
;;;2916;Rede do Bem FM (Ex Jovem Pan FM - SJRioPreto) (SP);
;;;2917;Regência FM  (SP);
;;;2918;Regional AM (Dracena) (SP);
;;;2919;Regional AM (Palmital) (SP);
;;;2920;Regional AM (Taquarituba) (SP);
;;;2921;Regional FM- RCR (Jales) (SP);
;;;2922;Regional FM-RCR (Lins) (SP);
;;;2923;República AM (SP);
;;;2924;Santa Cecilia FM (SP);
;;;2925;São Carlos AM (SP);
;;;2926;São Paulo AM - Rede Copacabana (SP);
;;;2927;100,7 FM Saudade (Santos) (SP);
;;;2928;90,9 Saudades FM (Matão) (SP);
;;;2929;Sentinela AM (SP);
;;;2930;Serra Negra AM (SP);
;;;2931;Sinal 2 FM (SP);
;;;2932;Sintonia FM - Aleluia (SP);
;;;2933;Socorro AM (SP);
;;;2934;Stereo Vale 103,9 FM São José dos Campos (SP);
;;;2935;Sul América Trânsito FM (SP);
;;;2936;Super Difusora AM (SP);
;;;2937;Super Piratininga FM - Aleluia (SP);
;;;2938;Super Rádio Piratininga AM 750 KHz (SP);
;;;2939;Tambaú AM - RCR (SP);
;;;2940;Ternura FM (Ibitinga) (SP);
;;;2941;Ternura FM (Tatuí) (SP);
;;;2942;Terra AM 650 KHz (SP);
;;;2943;Terra AM - 1330 (SP);
;;;2944;Terra FM (SP);
;;;2945;Transamérica FM Hits (Lorena) (SP);
;;;2946;Transamérica FM (Itapira) (SP);
;;;2947;Transamérica FM (Mococa) (SP);
;;;2948;Transamérica FM (Pirassununga) (SP);
;;;2949;Transamérica FM (São Paulo) (SP);
;;;2950;Transamérica Hits (Itirapina) Ex FM Cidade (SP);
;;;2951;Transcontinental FM (São Paulo) (SP);
;;;2952;Transuniversal AM (SP);
;;;2953;Três Colinas FM (SP);
;;;2954;Trianon AM (SP);
;;;2955;105,5 Tribuna FM (SP);
;;;2956;Tropical FM (Jaú) (SP);
;;;2957;Tropical FM 107,9  (São Paulo) (SP);
;;;2958;Tropical FM 90,7 (SP);
;;;2959;Tupã I AM (SP);
;;;2960;Tupã FM (SP);
;;;2961;TUPI AM / FM (SP);
;;;2962;Tupi FM (Santos) (SP);
;;;2963;Tupi FM 98,3 (Campinas) (SP);
;;;2964;Tupi FM Sat (São Paulo) (SP);
;;;2965;Uirapuru AM (SP);
;;;2966;Unifev FM (SP);
;;;2967;Unifran FM (SP);
;;;2968;Universal AM (SP);
;;;2969;Universitária AM - RCR (SP);
;;;2970;Universitária FM 102,1 (SP);
;;;2971;Urubupungá 760 AM (SP);
;;;2972;Vale AM (Presidente Epitácio) (SP);
;;;2973;Vale AM (Salto) (SP);
;;;2974;Vale do Rio Grande AM (SP);
;;;2975;Vale do Tietê AM (SP);
;;;2976;Vale Verde 96,7 FM Cesário Lange / SP;
;;;2977;Vanguarda AM (SP);
;;;2978;Vanguarda FM (SP);
;;;2979;Ventura FM (SP);
;;;2980;Vida FM 96,5 (SP);
;;;2981;Vida Nova AM (SP);
;;;2982;Você AM 580 (SP);
;;;2983;Zequinha de Abreu AM (SP);
;;;2984;96,1 FM(TO);
;;;2985;Araguaína - Anhanguera AM(TO);
;;;2986;CBN Tocantins(TO);
;;;2987;Cultura AM(TO);
;;;2988;Sociedade Guaraí AM(TO);
;;;2989;Tocantins AM (TO);
;;;2990;Tocantins FM - 97,7 FM(TO);
;;;9991;OUTRO (ANOTAR):;
;;;9992;OUTRO (ANOTAR):;
;;;9997;Nenhum;
;;;9998;Não sabe;
;;;9999;Não respondeu;
;;;11800;Vanguarda AM (Santana do Paraiso)(AC);
;;;11801;FM 100,9 (Jurua)/ Juruá FM(AC);
;;;11802;Boas Novas(AC);
;;;11803;Rádio Eco;
;;;11804;Nova Era FM(AC);
;;;11805;FM 99,9 (Cruzeiro do Sul)(AC);
;;;11806;Capital 106 (Senador Guiomar)(AC);
;;;11807;90,3 FM (Brasileia)(AC);
;;;11808;94 FM (Acre)(AC);
;;;11809;Dimensão FM(AC);
;;;11810;106,5 (Bajuri)(AC);
;;;11811;Ecoacre 99,5 FM (Epitaciolândia)(AC);
;;;11812;99,5 (Bolivia)(AC);
;;;11813;88,9 FM (Acrelandia)(AC);
;;;11814;95, 1 FM (Plácido de Castro)(AC);
;;;11815;Boas Novas - 107,9 FM(AC);
;;;11816;Rádio Feliz 94,7  (do Pastor Juanribe Pagliarin) FM(AC);
;;;11817;Aldeia FM(AC);
;;;11900;Farol Melodia FM 90,1(AL);
;;;11901;CBN(AL);
;;;11902;Imaculada Conceição FM(AL);
;;;11903;Vida FM 99,1 (AL);
;;;11904;Imprima FM(AL);
;;;11905;Educativa FM(AL);
;;;11906;Novo Nordeste AM(AL);
;;;11908;Farol 90,1 FM (Maceio)(AL);
;;;11909;93,1 FM ( Arapiraca)(AL);
;;;11910;Jaciobá 101,7 FM(AL);
;;;11911;Gazeta FM (Arapiraca)(AL);
;;;12200;Liberdade FM(AM);
;;;12201;Vitória FM(AM);
;;;12202;Pedra Pintada 104,9(AM);
;;;12203;Alvorada FM Parintins(AM);
;;;12204;Ativa FM(AM);
;;;12205;Vox FM  97,7 (Ipueiras) (CE);
;;;12206;Rádio Cidade FM(AM);
;;;12207;Rádio Municipal AM(AM);
;;;12208;Fronteira de Santa Rosa AM(AM);
;;;12209;Boas Novas AM (AM);
;;;12210;Marinha FM(AM);
;;;12211;Novo Tempo (AM)(AM);
;;;12212;Vale do Rio Madeira AM 670 KHz (AM);
;;;12213;Santo Antonio 87,9 FM(AM);
;;;12214;Integração - FM 99,9(AC);
;;;12215;Gameleira 87,9 FM(AC);
;;;12216;Feliz - FM 94,7(AC);
;;;12217;Alternativa FM 87,9 Acrelândia (AC);
;;;12218;CBN AM 740 Rio Branco (AC);
;;;12219;Nacional AM Rio Branco (AC);
;;;12220;Amazônia FM 88,5 Porto Acre Rio Branco (AC);
;;;12301;Cruzeiro do Sul (AM);
;;;12302;Juruá FM Eirunepé (AM);
;;;12303;Mel FM 101,7 Tefé (AM);
;;;12304;Rádio Adorar Web 97,7 Manaus (AM);
;;;12305;Açai FM 104,9 Codajás (AM);
;;;12306;Rádio Comunitária Rio Negro FM Barcelos (AM);
;;;12307;Globo Fm 92,9 Parintins (AM);
;;;12308;Transamérica Hits 95,7 Barcelos (AM);
;;;12309;Eu & Você FM 87,9 Boca do Acre (AM);
;;;12310;Nacional do Alto Solimões (FM) 96,1 Tabatinga (AM);
;;;12311;A Crítica FM 93,1 Manaus (AM);
;;;12312;Rede Aleluia FM 95,1 Manaus (AM);
;;;12446;Menestrel FM(AL);
;;;12447;Penedo FM(AL);
;;;12448;São Sebastião FM(AL);
;;;12449;103 FM (Junqueiro)(AL);
;;;12450;105 FM (Junqueiro)(AL);
;;;12452;CBN - 104,5 FM(AL);
;;;12453;Imaculada Conceição AM 1320 KHz(AL);
;;;12454;Olho D´agua FM(AL);
;;;12455;Sampaio FM(AL);
;;;12456;Vitória FM(AL);
;;;12457;Palmeira FM(AL);
;;;12458;Maragogi(AL);
;;;12459;Copec (Joaquim Gomes)(AL);
;;;12460;Educar FM(AL);
;;;12461;Litoral FM(AL);
;;;12462;Guarani FM(AL);
;;;12463;Laje FM(AL);
;;;12464;Pindorama FM(AL);
;;;12465;Gazeta 94 FM (Maceió)(AL);
;;;12466;Grande Rio FM(AL);
;;;12467;Canoa FM (Lagoa Da Canoa)(AL);
;;;12468;Correio FM (Matriz de Camaragibe)(AL);
;;;12469;Difusora AM (Maceió)(AL);
;;;12471; 96 FM (Lagoa Da Canoa)(AL);
;;;12472;96 FM (Matriz de Camaragibe)(AL);
;;;12473;Nova Quilombo FM 100,9 (AL);
;;;12474;Cultura Fm Arapiraca (AL);
;;;12475;Rádio Arapiraca Web (AL);
;;;12476;São Miguel 87,9 FM (AL);
;;;12500;Gazeta FM 93,3 FM(AP);
;;;12501;Amapá FM(AP);
;;;12503;Difusora AM do Amapá(AP);
;;;12504;99 FM (Macapá)(AP);
;;;12505;Rádio Cidade FM 101 9 FM (AP);
;;;12507;100,5 FM (Macapá)(AP);
;;;12508;101,1 Piuara FM (Porto Grande)(AP);
;;;12509;104 FM (Oiapoque)(AP);
;;;12510;63 FM (Macapá)(AP);
;;;12511;90,9 FM (Macapá)(AP);
;;;12512;94,5 FM (Macapá)(AP);
;;;12513;Apiuaré FM(AP);
;;;12514;Clube do Pará(AP);
;;;12515;92 FM (Santana)(AP);
;;;12516;Gilvan Borges FM(AP);
;;;12517;Jovem Pan FM(AP);
;;;12518;Nova Pioara FM(AP);
;;;12519;Prece Ave Maria(AP);
;;;12520;Tarumã FM (Macapá)(AP);
;;;12521;Transamérica FM Macapá(AP);
;;;12523;93 FM (Macapá)(AP);
;;;12524;109 FM (Macapá)(AP);
;;;12525;96,9 FM (Macapá)(AP);
;;;12526;Cidade FM(AP);
;;;12527;Fronteira FM(AP);
;;;12528;Love FM(AP);
;;;12529;Mazagão FM(AP);
;;;12530;São José FM(AP);
;;;12531;Unifap FM(AP);
;;;12532;105,9 FM (Macapá)(AP);
;;;12533;Equatorial FM(AP);
;;;12534;Amapari FM(AP);
;;;12536;93,3 FM (Santana)(AP);
;;;12537;94,9 FM (Oiapoque)(AP);
;;;12538;99,9 FM (Oiapoque)(AP);
;;;12539;99,9 FM (Macapá)(AP);
;;;12542;105 FM (Santana)(AP);
;;;12543;92,3 FM (Macapá)(AP);
;;;12546;103,3 FM (Macapá)(AP);
;;;12549;95,5 FM (Santana)(AP);
;;;12551;91 FM (Macapá)(AP);
;;;12552;Carumã FM(AP);
;;;12553;Unifap AM(AP);
;;;12554;Jovem Pan AM (AP);
;;;12555;Marco Zero FM 99,1 (AP);
;;;12556;Evangélica FM 95,7 (AP);
;;;12557;RBN FM 104,9 (AP);
;;;12558;Tartarugal FM 87,9 Tartarugalzinho (AP);
;;;12800;Itaparica FM(BA);
;;;12801;Fox FM 99,4(BA);
;;;12802;100,3 FM (Miguel Calmon)(BA);
;;;12803;104 FM (Itabuna)(BA);
;;;12804;104 FM (Itajuípe)(BA);
;;;12805;104 FM (São Sebastião do Passe)(BA);
;;;12806;107 FM (Juiz de Fora )(BA);
;;;12807;92 FM  FM (Porto Seguro)(BA);
;;;12808;92 FM (Itabuna)(BA);
;;;12809;92 FM (Itamaju)(BA);
;;;12810;96 FM (Itajuipe)(BA);
;;;12811;A Voz do Brasil(BA);
;;;12812;Adustina FM(BA);
;;;12813;Baiana FM (Bom Jesus Da Lapa)(BA);
;;;12814;Berimbau(BA);
;;;12815;Bettel FM(BA);
;;;12816;BOM JESUS AM (BOM JESUS DA LAPA)(BA);
;;;12817;Brilhante FM(BA);
;;;12818;Brumenal FM(BA);
;;;12819;Canabrava AM(BA);
;;;12821;Canabrava FM(BA);
;;;12822;Caramuru FM(BA);
;;;12823;Carioca FM(BA);
;;;12824;Casa Nova FM(BA);
;;;12826;Coatiba FM(BA);
;;;12828;Difusora FM(BA);
;;;12829;Difusora FM (Itajuipe)(BA);
;;;12830;Eldorado FM(BA);
;;;12831;Feira FM(BA);
;;;12832;Gavião FM(BA);
;;;12833;Grande FM(BA);
;;;12835;Independente FM(BA);
;;;12836;Itapetinga AM(BA);
;;;12837;Lapa FM(BA);
;;;12838;Liberdade FM(BA);
;;;12839;Lopes FM(BA);
;;;12840;Mangabeira FM(BA);
;;;12842;Minas FM(BA);
;;;12843;Mundial FM (BA);
;;;12845;Gospel FM(BA);
;;;12850;Caatiba FM(BA);
;;;12854;Globo AM(BA);
;;;12856;Itapetinga FM(BA);
;;;12857;Revisa FM(BA);
;;;12858;Rio Pontal(BA);
;;;12859;Santo AMaro FM(BA);
;;;12861;Subae FM(BA);
;;;12863;92 FM (Maraú)(BA);
;;;12864;Nova Vida 103 FM (Jequié)(BA);
;;;12865;Esmeralda 104 FM (Campo FORMOSO)(BA);
;;;12866;Cultura FM  104,9 (Luis Eduardo Magalhães)(BA);
;;;12867;Rio do Pires FM(BA);
;;;12868;105 FM (Alcobaça)(BA);
;;;12869;Livre FM 105,9 (Ipiau)(BA);
;;;12870;105 FM (Irecê)(BA);
;;;12871;Vale 105,3 FM(BA);
;;;12872;105 FM (Utinga)(BA);
;;;12873;106 FM (Marau)(BA);
;;;12874;Gospel 107 FM (Jequié)(BA);
;;;12875;88 FM (Alcobaça)(BA);
;;;12876;88 FM (Maraú)(BA);
;;;12879;93 FM (Alagoinhas)(BA);
;;;12880;93 FM (Jequié)(BA);
;;;12881;Cidade Sol 95 FM (Jequié)(BA);
;;;12882;95 FM (Alcobaça)(BA);
;;;12883;96 FM (Alcobaça)(BA);
;;;12885;98 FM (Campo Formoso)(BA);
;;;12887;99 FM (Alcobaça)(BA);
;;;12888;99,4 FM (Candeias)(BA);
;;;12889;Clube 97,3 FM(BA);
;;;12890;A Voz da Cidade FM(BA);
;;;12891;Araci FM (BA);
;;;12892;Atalaia FM(BA);
;;;12893;Ativa FM(BA);
;;;12894;Bela Vista FM(BA);
;;;12895;Bom Dia FM(BA);
;;;12897;Comunitária FM(BA);
;;;12898;Conquista FM(BA);
;;;12899;Cultura FM (Araci)(BA);
;;;12900;Cultura FM (Brejões)(BA);
;;;12901;Cultura FM (Irecê)(BA);
;;;12903;Cultura AM (Utinga)(BA);
;;;12905;Delmiro FM(BA);
;;;12906;Itapera FM(BA);
;;;12907;Sertanejo FM(BA);
;;;12908;Tropicália - 107,3 FM(BA);
;;;12909;Jequié FM 89,7(BA);
;;;12910;Luande FM(BA);
;;;12911;Maraú FM(BA);
;;;12912;Pane FM(BA);
;;;12913;Panorama FM(BA);
;;;12914;Patrulha Da Cidade FM(BA);
;;;12915;Poções FM(BA);
;;;12916;Clube FM(BA);
;;;12917;Jornal FM(BA);
;;;12918;Lider FM(BA);
;;;12919;Progresso FM(BA);
;;;12921;Socorro FM(BA);
;;;12922;Santa Terezinha FM(BA);
;;;12923;Teixeira FM(BA);
;;;12924;Transamérica FM (Poções)(BA);
;;;12925;Transamérica FM (Abare)(BA);
;;;12926;Gaivota FM (Encruzilhada)(BA);
;;;12928;Palestina FM 104 (Ibicaraí)(BA);
;;;12929;Bahia FM Sul 102,1/ Canapolis 102,1(BA);
;;;12930;Itapicuru FM 104,9(BA);
;;;12931;Zabelê FM(BA);
;;;12932;Sociedade 740 AM(BA);
;;;12933;Abelha Dourada 104,9 FM(BA);
;;;12934;Alternativa 97 FM(BA);
