Valores de variáveis;;;;;
Nome;Descrição;Nível de medição;Catergoria;Descrição da categoria;Tamanho
;;;1306;Diário News (Record News);
;;;1307;Local TV (Cultura);
;;;1308;Rede 21 (TV Universal);
;;;1309;Rede TV Aparecida (AM);
;;;1311;TV A Crítica Parintins (Record);
;;;1312;TV A Crítica (Record);
;;;1313;TV Ajuricaba;
;;;1314;TV ALEAM;
;;;1315;TV Alvorada (AM);
;;;1316;TV Alvorada (Rede Vida e TV Canção Nova);
;;;1317;TV Amazonas (Globo);
;;;1318;TV Amazônia (AM);
;;;1319;TV Baré;
;;;1320;TV Câmara;
;;;1321;Cidade;
;;;1323;TV Eirunepé (Globo);
;;;1325;TV Em Tempo (SBT);
;;;1326;IMPD;
;;;1327;TV Itacoatiara (Globo) ;
;;;1328;TV Manauara;
;;;1329;TV Manaus;
;;;1330;TV Parintins (Globo);
;;;1331;TV Parintins (Globo);
;;;1332;TV Rio Negro (Band);
;;;1333;TV Tiradentes (Esporte Interativo);
;;;1334;TV UFAM;
;;;1336;Tribuna do Norte;
;;;1337;Rede Super (RN);
;;;1338;Tv Gazeta;
;;;1400;TV Ativa;
;;;1401;TV Boa Vista (Rede TV!);
;;;1402;TV Caburai (Band);
;;;1404;TV Imperial (Record);
;;;1405;TV Itacutu;
;;;1406;TV Roraima (Globo);
;;;1407;TV Tropical (SBT);
;;;1408;TV Cidade (Rede NGT);
;;;1500;Rede Nazaré (PA);
;;;1502; RIT TV;
;;;1503; SBT Pará;
;;;1505;RBA TV (Band);
;;;1506;Rede Nazaré (PA);
;;;1507;RTP (SBT);
;;;1508;TV ALEPA;
;;;1509;TV Altamira;
;;;1510;TV Amazônia (PA);
;;;1511;TV Bacana;
;;;1512;TV Bragantina;
;;;1515;TV Capanema;
;;;1518;TV Cidade Sul do Pará (SBT);
;;;1519;Cultura;
;;;1522;TV Encontro;
;;;1523;TV Floresta (SBT);
;;;1524;TV Fox;
;;;1525;TV Grão Pará;
;;;1526;TV Guarany;
;;;1527;TV Itaituba;
;;;1528;TV Liberal (Globo);
;;;1529;TV Liberal (PA);
;;;1530;TV Mania;
;;;1531;TV Mansour;
;;;1532;TV Marabá;
;;;1533;TV Marajoara (PA);
;;;1534;TV Mocajubense (SBT);
;;;1535;TV Montes Claros (SBT);
;;;1536;TV Norte Carajás;
;;;1537;TV Ouro Verde (SBT);
;;;1538;TV Ponta Negra (SBT);
;;;1539;TV Regional (PA);
;;;1540;TV Rondon (SBT);
;;;1541;TV Santarém;
;;;1542;TV SBT Bragança;
;;;1543;TV STM;
;;;1544;TV Tapajoara (SBT);
;;;1545;TV Tapajós (Globo);
;;;1546;TV Tocantins (PA);
;;;1547;TV Tucumã (SBT);
;;;1548;TV Vale do Uruará;
;;;1549;TV Vale do Xingu (SBT);
;;;1600; Record News AP (Record News);
;;;1601; RIT;
;;;1602;Amazon Sat (AP);
;;;1603;Assembleia Legislativa;
;;;1605;Rede Nazaré (AP);
;;;1606;TV Alvorada (AP);
;;;1607;TV Amapá (Globo);
;;;1608;TV Cabralzinho;
;;;1610;TV Cidade (Futura e CNT);
;;;1611;TV Equatorial;
;;;1612;TV Equinócio (Rede Record);
;;;1613;TV Esporte Interativo Macapá;
;;;1615;TV Macapá (Band);
;;;1616;TV Mani;
;;;1617;TV Marabaixo;
;;;1618;TV Marco Zero (RBTV);
;;;1619;TV Oiapoque;
;;;1620;TV Rio Amazonas;
;;;1621;TV Santana;
;;;1622;TV Santana (Gazeta);
;;;1623;TV Tarumã (TV Brasil);
;;;1624;TV Tucuju (RedeTV!);
;;;1701;RBTV Palmas;
;;;1702;Sil TV (Rede TV!);
;;;1703;TV Anhanguera (Globo);
;;;1704;TV Araguaína (SBT);
;;;1706;TV Esporte Interativo Araguaína;
;;;1707;TV Girassol (Band);
;;;1708;TV Gurupi (SBT);
;;;1709;TV Jovem (Record);
;;;1710;TV Líder (Rede TV!);
;;;1711;TV Palmas;
;;;1712;TV Porto (SBT);
;;;1713;TV Rio Formoso;
;;;1714;TV Rio Lontra;
;;;1715;Via Brasil TV;
;;;1716;TV Guará (Record News - Canal 5);
;;;2103;FC TV;
;;;2104;São Luís TV;
;;;2105;TV Açucena;
;;;2106;TV Água Branca;
;;;2107;TV Alecrim;
;;;2108;TV Alternativa;
;;;2109;TV Anajás;
;;;2110;TV Araçagi;
;;;2112;Athenas;
;;;2113;TV Boa Notícia;
;;;2114;TV Brasil Maranhão;
;;;2116;TV Central dos Cocais;
;;;2119;TV Codó;
;;;2120;Difusora;
;;;2123;Educadora;
;;;2124;Eldorado;
;;;2125;TV Esperança;
;;;2126;TV Guará (MA);
;;;2127;TV Imperatriz;
;;;2128;TV Liberdade;
;;;2129;TV Maracu;
;;;2130;TV Maranhense;
;;;2131;TV Mearim;
;;;2132;Metropolitana;
;;;2133;TV Mirante (MA);
;;;2134;TV Nativa (MA);
;;;2135;TV Nova Era;
;;;2136;TV Nova Esperança;
;;;2137;TV Palmeira do Norte;
;;;2138;TV Pericumã;
;;;2139;TV Remanso;
;;;2140;TV São Luís;
;;;2141;TV Tocantins (MA);
;;;2142;TV ZTC;
;;;2144;TVE (MA);
;;;2146;TV Pericumã (Record);
;;;2200;TV Alvorada / Alvadora do Sul (Globo);
;;;2201;TV Antares (PI);
;;;2202;TV Antena 10 (Record);
;;;2205;TV Clube (Globo);
;;;2206;TV Costa Norte (PI) Cultura;
;;;2207;TV Delta;
;;;2208;TV Meio Norte (PI);
;;;2209;TV Piauí;
;;;2210;TV Picos;
;;;2300;Canal 54 Fortaleza;
;;;2301;NordesTV;
;;;2302;Rede Diário;
;;;2305;TV Ceará;
;;;2307;TV da Gente;
;;;2308;TV Fortaleza;
;;;2309;TV Jangadeiro;
;;;2310;TV Jangadeiro-Vale do Curu;
;;;2311;Metrópole;
;;;2312;TV O Povo;
;;;2313;TV Verde Vale;
;;;2314;TV Verdes Mares;
;;;2401;Rede Gênesis (RN);
;;;2402;RTV (RN);
;;;2403;Sim TV (Rede TV!);
;;;2406;TV Mossoró (Cultura);
;;;2407;TV Nominuto;
;;;2408;TV Ponta Negra (SBT);
;;;2409;TV Potiguar;
;;;2410;TV Redenção;
;;;2411;TV Rio Grande;
;;;2412;TV Tropical (Record);
;;;2413;TV União Natal;
;;;2500; TV Assembleia;
;;;2501; TV Borborema (SBT);
;;;2502; TV Itararé (Cultura);
;;;2503;TV Arapuan (Rede TV!);
;;;2504;TV Cabo Branco (Globo);
;;;2506;TV Clube (Band);
;;;2508;TV Correio (Record);
;;;2509;TV Estado;
;;;2510;TV João Pessoa;
;;;2511;TV Litoral;
;;;2512;TV Master;
;;;2513;TV Miramar;
;;;2514;TV Paraíba (Globo);
;;;2515;TV Tambaú (SBT);
;;;2516;TV UFPB;
;;;2517;Rede Gênesis (PB);
;;;2600;Mix TV (PE);
;;;2601;RBC;
;;;2602;Rede Gazeta;
;;;2603;Rede TV! Recife;
;;;2604;TV Tribuna Recife (TV Bandeirantes);
;;;2605;TV Universitária Recife (TV Brasil);
;;;2606;Boas Novas;
;;;2607;Rede Brasil de Comunicação;
;;;2608;Rede Estação (Estação TV);
;;;2609;Rede Gênesis (PE);
;;;2610;TV Araripe;
;;;2611;TV Asa Branca (Globo);
;;;2612;TV Capibaribe;
;;;2613;TV Clube (Record);
;;;2614;TV Clube (Rede Record);
;;;2615;TV Globo Nordeste (Globo);
;;;2616;TV Golfinho;
;;;2617;TV Grande Rio (Globo);
;;;2619;TV Jornal Caruaru;
;;;2620;TV Jornal (SBT);
;;;2621;TV Manchete PE;
;;;2622;TV Nova Nordeste (PE);
;;;2623;TV Olinda (Novo Tempo);
;;;2624;TV Pernambuco (PE);
